T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2026-05-21,2026-05-22,002442,龙星科技,2,化工,0,15,14,4,6,1.63,False,9.88,True,True,False,4,2,1,2026-05-21|2板|化工
2026-05-21,2026-05-22,600611,大众交通,2,芯片,3,2,14,11,3,10.05,False,8.32,True,True,False,4,2,1,2026-05-21|2板|芯片
2026-05-22,2026-05-25,000518,四环生物,3,ST摘帽,0,25,24,0,29,-6.3,False,7.05,True,True,False,4,3,1,2026-05-22|3板|ST摘帽
2026-05-22,2026-05-25,002442,龙星科技,3,化工,4,6,24,2,11,5.92,False,7.17,True,False,True,4,3,1,2026-05-22|3板|化工
2026-05-22,2026-05-25,600611,大众交通,3,芯片,11,3,24,14,1,7.5,True,3.58,False,False,False,4,3,1,2026-05-22|3板|芯片
2026-05-26,2026-05-27,000509,华塑控股,2,新型工业化,0,17,16,0,21,0.0,False,3.73,True,True,False,4,2,1,2026-05-26|2板|新型工业化
2026-05-26,2026-05-27,600520,三佳科技,2,芯片,2,7,16,3,4,8.61,False,2.99,False,False,False,4,2,3,2026-05-26|2板|芯片
2026-05-26,2026-05-27,002388,新亚制程,2,华为概念,0,17,16,0,21,3.42,True,0.79,False,False,False,4,2,1,2026-05-26|2板|华为概念
2026-05-26,2026-05-27,003036,泰坦股份,2,通信,3,3,16,2,6,-2.37,False,11.04,False,False,False,4,2,1,2026-05-26|2板|通信
2026-05-26,2026-05-27,600162,香江控股,2,地产链,0,17,16,1,10,6.19,True,0.62,True,True,False,4,2,1,2026-05-26|2板|地产链
2026-05-26,2026-05-27,600726,华电能源,2,电力,3,3,16,6,1,3.29,False,15.19,True,True,False,4,2,1,2026-05-26|2板|电力
2026-05-27,2026-05-28,002251,步步高,2,零售,0,21,20,0,30,-0.88,False,12.27,False,False,False,3,2,2,2026-05-27|2板|零售
2026-05-27,2026-05-28,001257,盛龙股份,2,有色金属,0,21,20,2,9,0.04,False,11.15,False,False,False,3,2,1,2026-05-27|2板|有色金属
2026-05-27,2026-05-28,002579,中京电子,2,通信,2,6,20,15,2,1.87,False,16.91,True,True,False,3,2,1,2026-05-27|2板|通信
2026-05-27,2026-05-28,002771,真视通,2,算力,2,6,20,10,4,2.3,False,5.69,False,False,False,3,2,1,2026-05-27|2板|算力
2026-06-01,2026-06-02,000767,晋控电力,2,电力,1,19,37,1,10,0.16,False,41.03,False,False,False,5,2,2,2026-06-01|2板|电力
